id_j;edad;altura;pie_habil;nacionalidad;nombre;valor_mercado_en_miles;id_club;posicion
1230;23;1,76;derecho;Colombia;Juan Sebastián Pedroza;652;108;Pivote
1231;30;1,77;derecho;Colombia;Leonardo Pico;822;108;Pivote
1232;36;1,82;izquierdo;Colombia;Carlos Sánchez;480;108;Pivote
1233;37;1,82;derecho;Colombia;Yulián Anchico;300;108;Pivote
1234;22;1,84;derecho;Colombia;Yilmar Velásquez;275;108;Pivote
1235;22;1,77;derecho;Colombia;Yéiler Góez;150;108;Mediocentro
1236;29;1,76;derecho;Colombia;Harold Rivera;280;108;Mediocentro
1237;25;1,75;derecho;Colombia;Neyder Moreno;950;108;Interior derecho
1238;31;1,82;izquierdo;Uruguay;Matías Mier;800;108;Interior izquierdo
1239;26;1,77;izquierdo;Colombia;Jonathan Herrera;800;108;Interior izquierdo
1240;27;1,74;derecho;Colombia;Jhon Jairo Velásquez;800;108;Mediocentro ofensivo
1241;20;1,72;derecho;Colombia;Jersson González;150;108;Mediocentro ofensivo
1242;27;1,75;derecho;Colombia;Andrey Estupiñán;990;108;Extremo izquierdo
1243;29;1,66;derecho;Colombia;Wilfrido De la Rosa;600;108;Extremo derecho
1244;30;1,55;derecho;Argentina;Ezequiel Aguirre;150;108;Extremo derecho
1245;34;1,7;derecho;Colombia;Wilson Morelo;280;108;Delantero centro
1246;30;1,84;derecho;Argentina  ;Fernando Coniglio;950;108;Delantero centro
1247;33;1,87;derecho;Paraguay;Gerardo Ortiz;800;109;Portero
1248;30;1,89;derecho;Colombia;Eder Chaux;800;109;Portero
1249;21;1,93;derecho;Colombia;Debinson Mateus;800;109;Portero
1250;33;1,82;derecho;Colombia;Fáiner Torijano;150;109;Defenza central
1251;28;1,86;derecho;Colombia;Deivy Balanta;990;109;Defenza central
1252;29;1,84;derecho;Colombia;Camilo Mancilla;600;109;Defenza central
1253;22;1,89;derecho;Colombia;Sebastián Palma;700;109;Defenza central
1254;22;1,91;derecho;Colombia;Brayan Córdoba;600;109;Defenza central
1255;23;1,84;derecho;Colombia;Jorge Cardona;100;109;Defenza central
1256;33;1,8;derecho;Colombia;Felipe Banguero;200;109;Lateral izquierdo
1257;29;1,75;izquierdo;Colombia;Nicolás Giraldo;900;109;Lateral izquierdo
1258;28;1,78;derecho;Colombia;David Murillo;250;109;Lateral derecho
1259;36;1,75;derecho;Colombia;Marlon Piedrahita;300;109;Lateral derecho
1260;21;1,73;izquierdo;Colombia;Robert Mejía;275;109;Pivote
1261;24;1,87;derecho;Colombia;Sebastián Guzmán;150;109;Pivote
1262;21;1,76;derecho;Colombia;Dannovi Quiñonez;280;109;Pivote
1263;29;1,8;izquierdo;Colombia;Juan David Rodríguez;950;109;Mediocentro
1264;21;1,84;derecho;Colombia;Alejandro García;800;109;Mediocentro
1265;31;1,78;derecho;Colombia;Juan Pérez;800;109;Extremo izquierdo
1266;30;1,77;derecho;Argentina  ;Alejandro Barbaro;800;109;Extremo izquierdo
1267;19;1,75;derecho;Colombia;Nelson Quiñones;150;109;Extremo izquierdo
1268;22;1,79;derecho;Colombia  ;Marcelino Carreazo;990;109;Extremo derecho
1269;33;1,75;derecho;Colombia;Ayron del Valle;600;109;Delantero centro
1270;23;1,8;derecho;Colombia;Mender García;150;109;Delantero centro
1271;31;1,78;derecho;Colombia;Diego Valdés;280;109;Delantero centro
