id_jugador;partidos_jugados;partidos_en_alineacion;puntos_por_partido;goles;autogoles;entra_sustituto;sustituido;amarillas;doble_amarilla;rojas;goles_concedidos;porterias_a_cero;minutos_jugados;asistencias;id_estadisticas_jugador
1564;6;0;43;0;0;0;0;0;0;0;0;0;1031;4;963
1565;1;0;44;0;0;0;0;0;0;0;0;0;1032;4;964
1566;17;17;1;0;1;0;0;3;3;0;0;0;1;4;965
1567;11;9;2;0;1;0;2;2;2;0;0;0;645;4;966
1568;18;14;1;0;0;0;3;3;2;0;0;0;941;4;967
1569;12;12;1;0;1;0;8;4;1;0;0;0;445;4;968
1570;6;5;45;0;0;0;3;1;0;0;0;0;238;4;969
1571;16;16;1;0;1;0;0;6;2;0;0;0;1;4;970
1572;5;5;1;0;0;0;3;2;0;0;0;0;158;4;971
1573;8;5;1;0;0;0;3;2;1;0;0;0;202;4;972
1574;17;17;1;0;0;0;0;2;2;0;0;0;1;4;973
1575;10;10;1;0;0;0;0;6;4;0;0;0;743;4;974
1576;16;12;1;0;1;0;6;3;3;0;0;0;681;4;975
1577;8;6;1;0;0;0;3;2;0;0;0;0;263;4;976
1578;9;9;1;1;0;0;2;1;2;0;0;0;671;4;977
1579;13;13;1;1;0;0;6;5;2;0;0;0;645;4;978
1580;8;6;1;0;1;0;5;1;0;0;0;0;132;4;979
1581;18;18;1;3;1;0;1;14;3;0;0;0;1;4;980
1582;2;1;46;0;0;0;1;0;0;0;0;0;8;4;981
1583;10;10;1;0;2;0;6;5;1;0;0;0;421;4;982
1584;15;13;1;0;1;0;5;6;2;0;0;0;781;4;983
1585;6;5;1;0;0;0;2;3;0;0;0;0;234;4;984
1586;6;5;1;0;0;0;5;0;1;0;0;0;56;4;985
1587;6;6;47;1;0;0;3;2;0;0;0;0;375;4;986
1588;3;2;2;0;0;0;2;0;0;0;0;0;51;4;987
1589;17;17;1;10;1;0;0;3;1;0;0;4;1;4;988
1590;14;12;1;2;2;0;6;5;0;0;0;0;562;4;989
1591;19;6;0;0;0;0;0;2;0;0;8;1;540;4;990
1592;19;13;1;0;0;0;0;4;0;0;17;2;1;4;991
1593;3;2;1;0;0;0;0;1;0;0;0;0;118;4;992
1594;17;15;1;0;0;0;1;0;4;0;0;0;1;4;993
1595;18;17;1;1;0;0;1;1;4;1;0;0;1;4;994
1596;4;3;1;0;0;0;2;0;1;0;0;0;119;4;995
1597;17;9;1;0;0;0;0;0;0;0;0;0;810;4;996
1598;2;2;1;0;0;0;0;1;0;0;0;0;170;4;997
